C3AR1	CLEC7A
DHRS7B	HSD17B12
DDX17	HNRNPDL
RAE1	USP7
PAPOLA	EFTUD2
CLIC2	CMKLR1
MYO1G	HK3
MRPL22	MRPS6
SMU1	SRSF10
RBM17	TBL1XR1
SHOC2	HERC4
LAG3	CD27
TIMM13	MTX1
NOP16	RPS3
TRIM29	SERPINB5
MRPL46	AL022312.1
CDK7	PPP1R10
CPSF1	MDN1
MCM2	ORC1
TBX21	TBC1D10C
CAP1	MSN
TAGAP	C19orf38
ERP44	DNAJC3
TLR8	AIM2
RPL8	RPL4
GPKOW	PUF60
UTP15	AATF
DMKN	SPRR1A
UBE2W	LYPLA1
THAP7	RPS19BP1
NSRP1	ANAPC7
COQ5	BPHL
QDPR	PCBD1
G3BP1	RPF2
PLAGL2	ZNF384
RBBP5	MIS12
TRA2B	BRD4
PLEKHH3	ZNF205
WDR36	DCAF13
RDX	CUL5
FN1	SERPINA3
PBRM1	PRPF40A
CHD4	SF3B4
PUS7	AATF
TCOF1	SART1
MFN2	COX5A
LUC7L3	SRSF11
ATG5	VPS53
AIMP2	CLINT1
NDC1	TOMM5
FCGR3A	GPSM3
C1orf162	TLR1
WDR12	RPL7L1
CD27	LAIR1
CLYBL	SLC25A20
HSPD1	METAP1D
CCR2	SEPTIN6
BRD8	RBM14
TFIP11	PUF60
FAM227B	SAXO2
CFHR2	SERPING1
FUCA2	MAN2B2
ENTPD1	GIMAP1
ATP6V0A1	PDPK1
RPL21	AIMP1
CENPA	MKI67
NDUFB2	UQCRQ
CASP5	SAMSN1
USP36	DDX47
CLUAP1	TRAF3IP1
CCR5	SOWAHD
ECSIT	PTCD3
SEC23B	SRPRA
CD79A	CCR5
MRPS18C	MRPS6
TPR	SNRPD2
CS	MGST3
MRPS16	RCC1L
HADHA	ECI1
FBL	NHP2
NXF1	NOL9
C1orf162	LILRB3
ERH	EWSR1
TOMM22	SLIRP
SAMM50	PDHB
TFAM	MRPS28
THOC1	NUP85
TRAF3IP3	INPP5D
MTX3	APOO
FLI1	HCLS1
MCM5	TEDC2
PTPRC	PLCG2
GTF3C5	CDC40
UBXN7	RAD21
CS	IDH2
NDUFB10	PTGES2
LIG3	THOC1
EPHX1	PGRMC2
CDC45	GINS1
TPR	SRP14
MRPS28	MRPL33
ESAM	PECAM1
KHDRBS1	ZC3H13
SNRPC	UPF3B
FOXRED1	PTRH1
TIMM44	LYRM7
PPHLN1	BPTF
NCAPH	PTTG1
UBE2T	RACGAP1
INPP5D	HLA-DRA
NDUFS8	DLAT
ACSM3	HMGCL
MIDN	PCNX3
BUB1B	KIF15
SP140	MYO1F
FCN1	FGB
UBL5	ARPC1A
SRSF7	SLTM
CENPF	BUB1
LTBP2	THSD4
NCF4	CLEC10A
FCGR2B	THEMIS2
SNCA	KEL
MPO	NLRC4
DNAJC7	KPNA2
MND1	NUSAP1
KDM1A	BCLAF1
C12orf65	MRPL42
SRFBP1	NSA2
TSKU	SRXN1
HNRNPU	WDR5
ADGRE2	CLEC7A
EIF4A3	SRSF2
UNG	FASTKD2
NMI	IFI44
ERLEC1	P4HB
MRPL4	MRPL53
SF3A1	RBM8A
RPS15A	RPS27
ITGB7	GZMA
UBASH3B	UPP1
HLA-DPA1	TIFAB
CFAP52	CFAP77
RPL6	EIF3B
ZMPSTE24	EMC4
GTPBP10	MRPS14
ZFAND6	C11orf58
NOL9	RBM12
ZNF701	ZNF611
RTF1	DDX46
WBP11	RAD21
PIK3CD	PIK3R6
COX4I1	NDUFB6
ATP6V1G1	ATP6V1B2
FGR	TLR2
LPXN	LAPTM5
NDUFA5	NDUFB8
PPP6R1	RAPGEF1
RPL28	RSL1D1
KIF20A	KIF15
VILL	CAPN5
TNFRSF1B	VAV1
CD48	MS4A1
MTREX	WBP11
IFT88	IFT46
OS9	LMAN2
DR1	ZC3H18
ZC3H4	ZMAT2
TMSB10	TMSB4X
PTPRC	SLC9A9
MS4A6A	NCF2
SNRNP40	HNRNPD
ZNF687	SUPT5H
CACYBP	DDX59
GZMA	SLA
GARS1	RARS1
CCAR1	SART3
KHDRBS1	WTAP
ATM	ARHGAP25
ATN1	ARID1A
SAFB2	XRCC6
TBXAS1	TLR4
L2HGDH	HIBCH
UBR2	BIRC6
P4HA3	MXRA8
COX7A2	NDUFS5
CD48	SIT1
HNRNPH1	XRCC6
RPL11	RPS27
IMMT	MAIP1
CENPM	KNL1
POLR1E	PRPF40A
NCF2	IL1B
BCAS2	CLP1
IFI16	GPSM3
EIF4A3	NIPBL
LILRB2	DPEP2
PARVG	LYN
MED23	INTS4
GMFG	PRKCB
ASPM	CENPU
COPZ1	HDLBP
GTF2F1	RANBP2
SERPINE1	INHBA
TRAT1	CTSW
ZC3H4	GPS2
PLXDC1	BGN
PHF5A	BPTF
GEMIN5	RCL1
ABCB7	EXOG
LLGL2	LRBA
CHI3L2	CCR5
UBR7	MCM4
XAB2	POLR2C
DIS3	RBM26
YLPM1	NRDE2
CDKN3	CCNB2
MRPS24	DNAJC19
CIT	DNA2
AKR7A2	PRDX6
NCAPH	CDCA8
F11	KLKB1
ARFGEF2	OSBPL2
NUP88	LSM6
ZNF638	CSTF1
BICRA	TCF7L1
THUMPD1	HCFC1
ERAL1	MRPS18B
KIF22	KIF14
POLR2D	RBM12
ITGA4	ADGRE2
SNRPD2	RPRD2
COX7B	NDUFB8
SP140	HLA-DOA
TFAM	CHCHD1
FGA	FAM20C
PPL	S100A10
TM9SF3	YIPF6
ORC6	KIF11
RNF40	THOC7
MTIF2	GFM1
ICOS	SPN
DOCK8	HVCN1
SRSF3	SAP130
TCERG1	LSM6
HNRNPM	WDR82
LAMB2	LAMA2
CCR1	SIPA1
TMEM214	EEF2
PTPMT1	ACAD9
ROMO1	MRPS9
MOSPD2	ATP6AP2
MLEC	MIA2
SRP9	RPL30
TMUB1	ELMOD2
